customer_id,first_name,last_name,gender,date_of_birth,email,password_hash,membership
CU9045,Hailey,Brown,male,1951-09-15,wendyhoward@example.org,a95ae36a5065d541aa48f7a87ca4fe1a6e852c3a17f7ed2cca4b18dcb6e78caf,no
CU3912,Tyler,Martin,other,1936-08-12,kathrynmcintosh@example.org,195a9c0650818a2d9f5ec82560f3ccb2644f0555728fa25c7f7d7cf7189cce66,no
CU0352,Michelle,Mcdonald,female,1953-10-29,garciachloe@example.net,83faf8b3e00673b395091c03ac1aa6a0b84c869207eb6793556a034c0b746f64,no
CU2485,James,Everett,female,1938-02-27,yrussell@example.com,bce216bf6464124d1321a6051eacd1856f51677783491d2d6c1fb59e7b132525,yes
CU9459,Ashley,Gill,female,1965-01-14,eric23@example.org,647650a863e89608ac3f7c492ad8e7ce80bfe02b66a8ad269fd8191c3b29ea8e,yes
CU1067,Teresa,Sanchez,female,1948-05-28,aho@example.com,61ade0a4472e8898b0e650f046a59459d4dc5e821397a884d170c1bc878ced96,yes
CU4533,Amy,Williams,male,2001-12-08,lhale@example.com,5b7b8dd2e23cef0d01709792967897957964475f2178d8fded4a5f174397918a,yes
CU4887,Emily,Underwood,female,1948-09-07,goodmankristi@example.com,30079b15ffb9ea9dd11d6be71fa9757e02f97be5e2b1404ba222032354a28ab9,yes
CU3360,Jeffrey,Bates,female,1964-12-07,peterterrell@example.com,73c77d791eedd37f5caaf5dd644f563713640663de97eb5bef97af975c618a72,no
CU1446,Justin,Alvarez,female,1985-10-20,martinezsteve@example.com,8b873c4f84640f325689d55aee5a624388f3b676b6c46c21b9348f6a9d4bf603,yes
CU1217,Andre,Meyer,other,1954-04-16,peterwilliams@example.net,d767263750bdf7b2635882f3cb09cb8ac6d54648cd657ddc4e437e48e88f9617,yes
CU3842,Karen,Watkins,male,1956-12-03,deleonjamie@example.com,b7ff6e23875f125208f98c4b12acc23bb95d7a2fafe5a528d50b79c6df8df987,yes
CU4521,David,Alvarez,male,1995-05-11,martinlaura@example.com,22df3879e9b529ffdb9185a66495e0e6e9b5548502de71d061aa4fa44296d0c2,no
CU4715,Dustin,Ellis,other,2001-08-10,jbrown@example.org,b3fec8d4245f9f0fc464cc393a8608bcef92510a266223a4e6ebee03ef9a1fbd,no
CU5119,Christopher,Barnett,male,1959-05-31,lisayoung@example.com,239ea1c212bb3590917d33f25f493e59fa90bb03130cea360b4f9d1780b8d001,yes
CU2240,Douglas,Leonard,female,1954-07-03,oreed@example.org,e9c2ab43d85a5abf3f6d5a1ece43b5e05a8cb967cee8100818ae514e93ae0e15,no
CU5097,Calvin,Middleton,female,1954-03-28,angelasmith@example.net,a51e513c982e18f500993914d55318e1d10d92d502eed4bec9ee5b73f8b61b44,no
CU9326,Danielle,Rich,female,1972-11-09,jbray@example.com,ff5287d50e9072a1c31058a4c20c4cfb6d1f72b924b28e2d41bda02f8f7ba917,yes
CU5774,David,Butler,female,1935-08-20,michael05@example.net,15a4048710aa214c80ca91dc8fd9d3122481daf2d7470f9c41f6346d41a1b1bf,yes
CU5931,Deborah,Miller,male,1985-09-28,sean19@example.net,02cb053249c7eefafd65de95f148544ce229dee6e429a875dcf699c14b77db6f,no
CU8247,Raymond,Gregory,male,1947-03-15,ronald74@example.net,2ed9297b21b28616858049fa964a35f72007aed2600d5189f18e0e07cc0d110e,yes
CU1936,Tonya,Martin,female,1935-02-28,duranrachel@example.net,a523e1377e31d65723a2274256eca2370d58695b52bd03dd7e3216443625440d,no
CU2291,James,White,male,1943-03-02,nelsonpatricia@example.org,8be68fd199c53153d90dff9c9fd1513670b45caec83ac794ece73b400784a068,no
CU7723,Robin,Ward,female,1951-08-11,oliverapril@example.net,3da9f1628102adeb7f4627c192e1ffe72d6cd4631d346f80555abe99e765d932,yes
CU8181,Elizabeth,Martinez,male,2000-02-07,lauren47@example.org,5a471a115780a127b338101071e6f823c0f38fbba9ac68d8e3b73e792fdf445f,no
CU0149,Mary,Harvey,other,2001-04-07,whood@example.net,84be72c1f09a54a75da61895b62fec8e7eedbeb8ec1ac588f76a464c162d9108,no
CU0140,Rebecca,Hughes,other,1963-07-13,ruthaguirre@example.org,6019136b0fbfae148bdb761823b74e4ca3db0def0b849fb5ea5551092c201996,yes
CU3988,Christopher,Herrera,male,1963-12-19,eclayton@example.org,0fda1e2dd05bddef8be6bff66cd116cae44316c7fcdc88ae49fed47c969c09f6,no
CU3162,Ashley,Adams,other,1937-02-13,nancycollins@example.net,6c30bb4cfb8d74c6a8c17148168402f327e94aa032092c51b706b4662b541481,no
CU3205,Matthew,Johnson,male,1943-10-25,nicole36@example.org,36327014f394fcad7d788d8ca21af4458c63db12da46f7410a250ce6e35fa816,yes
CU2177,Roberto,Cline,other,1991-08-28,georgewilliams@example.org,4d2ad5dfb2ef462203432e32d37c4a07be12a16e265544006fec6f81dcd95f63,no
CU9953,Bryan,Lane,male,1947-01-25,xdawson@example.org,bef6c3d9dae2041f570b1f4906bcad17c8133ee08d38adbc181fba580a14151f,no
CU8636,Michelle,Davis,male,1936-04-30,jacqueline30@example.org,cac3699bbee102372090a103183e71635e47489a04907c88ee590c593016b251,no
CU5023,Alicia,Spence,male,1936-11-30,erobles@example.net,ebc55e0b233ed9d1c52eac881368c1a0f8e361989c35c40a65c2c82bbd868b4e,no
CU4157,Dorothy,Day,male,1962-10-02,gbarrett@example.org,0436db3da5ec18e79efd6b6fa7e820f386f860f0bb062821410acde65e3d8432,no
CU6023,Edwin,Pratt,female,1943-02-18,michael64@example.com,7d63eeb6c5ccf1a374300c10a68b27905ee3e0c06b23f7a2074f32658f1583b8,no
CU6553,Jack,Rice,female,1981-06-13,esparzasara@example.net,5477a4ab7cd6ce45f8a0beea8564016fcf81fe442eed2b5973d49e007f1980cc,yes
CU7967,Douglas,Blake,female,2002-02-01,gibsondiana@example.net,636228543e0bde97255ff545380cc1cac3499d0e1c3c7ea42a4f9c10f2256940,yes
CU1962,Andrea,Johnson,male,1954-11-02,vbrooks@example.com,5e8245bdf391dc725be41eb1ab5a31ed9bc98d1e54bc378b32ac3d9060912e5c,no
CU0214,Kathryn,Cuevas,other,1980-10-28,james05@example.org,23d41ad9feeae7ffbbba8bacd58116d5464db1eb79d0f26b3c0d96095db66aca,no
CU5515,Travis,Watson,female,1963-12-21,rebeccadavila@example.net,ee206409e3c4215a0c1ef95ad91c7eacd3ea5b64ca087817fd03259411e65bd2,no
CU7676,Audrey,Hester,female,1970-03-08,gallaghertony@example.net,adbb1a907c03ee8ef310bc8c60de3adb905e1da793076cd63f13a7007a3f85f6,yes
CU0869,Nichole,Flynn,female,1969-07-12,sharon64@example.com,f0037de9024120a7d2facf08ab8a98af646bb15fb15b587f651fcfd40b73d8de,no
CU8836,Gregory,Garcia,male,1985-03-29,vazquezjennifer@example.org,005a29b21a28e10b177c966ad124253fb35f5f77706ffa363c90bd6a060a61e4,no
CU0298,Billy,Thomas,male,1980-08-03,lgarner@example.net,e95ef96506db02776898abbf93df4c7483e3c96166fd646e7373f6a1ac36cb3f,yes
CU1218,William,Valdez,female,1989-07-24,aporter@example.com,dbf59c14d3e18051888c4c1129ed04e79146226ff9edae53dcf694fdc7490586,yes
CU8152,Michael,Rhodes,male,1979-10-26,carlfrancis@example.com,69f2d8c7441c432fcfb6246d7f146292988618bea89e5a6a27c1cd591fd71189,yes
CU8356,Brandon,Jordan,male,1963-08-11,bairdscott@example.org,6c71444c90994d24a1f42bd5bac3326f5e209ec155e3a240c0f30cb463b008f7,yes
CU3812,Jennifer,Gomez,male,1956-08-04,tarakelley@example.net,c38552ba0d0add7464def6b4f857603e3314d9d10cc9b752ede86db0b51b00dd,no
CU0791,Thomas,Mack,male,1976-03-05,elizabeth02@example.org,8419260dec6c3e18e5daf7c59250eb76eb863187fc5bcde2ccd60196fb2c9c0f,yes
CU8051,James,Byrd,other,1967-06-10,baileydeborah@example.org,1fe688bc373ea9bdcc8c48496b77654633a076010dff1b177440afa03dc1f3f4,no
CU7908,Savannah,Stephens,male,1982-06-03,jamie01@example.net,60488bfdc0c4a7c7dc39160da99ce5469a0bc8c12da5dc71495db5a13cbe33af,yes
CU4997,Zachary,Greene,male,1970-11-01,epadilla@example.org,73424389439f4f0f917f4bbc1d6f0b22d446b6caca2d442b45271160f0be37c6,yes
CU1607,Jeremy,Wolfe,female,1987-01-07,fostermichael@example.com,b4246fa490a8b41a2fbf31fd5b0e573889ca27cda7e79f2e0dc9844ebc162eed,no
CU6316,Jonathan,Schwartz,female,1960-02-02,christopherjones@example.net,7bf224ffcf808451ec52d108312184eb2785755ddc5d022c61530228d5c3f163,yes
CU0266,Shane,Cross,other,2002-07-11,perryclifford@example.com,505d43a6f6abe7388a9cf59324cb2a667713f6ff0afd7b93d39a6ad1148da0c3,no
CU3424,Philip,Whitaker,male,1986-08-13,michael59@example.org,48c6e84aff91187d897b8540e849c59404993892c3cc008831b189f7ba209673,yes
CU9986,Sean,Porter,male,1935-08-14,lindastewart@example.com,332c78a5250c136777ad311bcee089ef33d3976bf395d985cef282484e998702,yes
CU4668,Cassidy,Ward,female,1972-03-21,gilbertmary@example.org,33ac89134d6afb3193332c6afcf00478db6aac759b9960b4cc22f816d83823d6,yes
CU3846,Isabella,Grant,female,1995-03-04,jamesolson@example.com,f1f112025b1d25cfbd59e74ee2a87ee34e11b6479e4f6ec9666c60c625b34c29,no
CU1000,Sergio,Aguirre,female,1952-11-23,christopher67@example.org,ef29a3d1fa57a305967ad6465582345b6747b39d4eb35996fe7d2573685c4f29,no
CU6996,Cheryl,Morris,male,1974-07-18,jessebrown@example.net,3331886c25397edd3d3b245cd9fea8b26c8a66ee61481a0ff101d0a82feb4e34,no
CU9577,William,Byrd,female,1953-02-12,kimberlythompson@example.net,7523ff94d75789a789fd5f3d5e09f376dd562158f3507484e06ed90259b8b120,yes
CU8743,Heidi,Morton,other,2004-07-30,xkelley@example.com,e88d112c19e111338b85caeb390d808f5fbbbe54b536315202283374c91b3ee9,no
CU7862,Sharon,Hinton,other,1958-05-05,donaldrasmussen@example.com,bece93f3b49d1e82caaff59c19074a550197ed5607384e9b3e51f2ae85669b44,no
CU1170,Ethan,Adams,other,1950-02-22,kennethchapman@example.org,b3bc8ffb2ce1aa0fdbe938b30804f81b06d4912766ec2a0377452fcd23bf2ec6,yes
CU3016,Kyle,Weeks,other,1947-03-19,kjohnson@example.com,025e241a3049f80c8f25ec1b8d64599cc0f145025dfc2c1205294f202f572c4a,no
